baidu,百度
不可胜数,数不胜数
不可思议,难以想象
不可一世,咄咄逼人
不可一世,高视阔步
不可一世,目空四海
不可一世,旁若无人
不可一世,盛气凌人
不可一世,妄自菲薄
不克不及,不能
不肯,不愿
不郎不秀,不稂不莠
不稂不莠,不郎不秀
不劳而获,坐享其成
不理,不睬
不利,晦气
不料,不意
不料,不虞
不吝,不惜
不吝指教,不吝金玉
不吝指教,不吝珠玉
不吝珠玉,不吝指教
不留神,不留心
不留心,不留神
不留余地,不动声色
不露锋芒,不见圭角
不露锋芒,不露圭角
不露神色,不露声色
不露声色,不露神色
不乱,稳定
不伦不类,不三不四
不伦不类,不正经
不论,不管
不论,非论
不论,岂论
不落窠臼,不落俗套
不落窠臼,步人后尘
不落俗套,不落窠臼
不毛之地,穷山恶水
不免,难免
不免难免,未免
不谋而合,不约而合
不谋而合,不约而同
不能,不克不及
不能尽数,不能胜数
不能胜数,不能尽数
不能自休,欲罢不能
不能自已,不能自制
不能自制,不能自已
不宁不奈,不宁奈
不宁不耐,不宁耐
不宁奈,不宁不奈
不宁耐,不宁不耐
不偶,数奇
不偏不倚,中庸之道
不平,不服
不平,不屈
不期而遇,萍水相逢
不请自来,不速之客
不求甚解,囫囵吞枣
不求甚解,生吞活剥
不屈,不平
不屈不挠,百折不挠
不屈不挠,奋不顾身
不屈不挠,宁为玉碎
不屈不挠,勇往直前
不屈不挠,再接再厉
不然,否则
不染纤尘,冰清玉洁
不日,克日
不容置疑,无可置疑
不辱使命,幸不辱命
不入耳,不中听
不三不四,不伦不类
不伤脾胃,惠而不费
不上不下,处境尴尬
不少,很多
不慎,失慎
不省人事,昏迷不醒
不胜,不堪
不胜枚举,不乏其人
不识好歹,不识抬举
不识时变,不识时务
不识时务,不识时变
不识时务,吃米不知米价
不识一丁,不识之无
不识之无,不识一丁
不食人间烟火,不吃烟火食
不守妇道,不安于室
不守妇道,不安于位
不顺畅,不畅
不顺手,不伏手
不死即伤,非死即伤
不停,不断
不停,不绝
不停,一直
不通,欠亨
不同,分歧
不同凡响,与众不同
不妥,不当
不外,不过
不忘本,有良心
不违农时,不夺农时
不唯,不惟
不惟,不唯
不闻不问,不理不睬
不闻不问,漠不关心
不问可知,不言而喻
不务正业,游手好闲
不惜,不吝
不相上下,八两半斤
不相上下,分庭抗礼
不相上下,平起平坐
不相闻问,断绝往来
不消,不用
不屑一顾,嗤之以鼻
不修边幅,蓬头垢面
不虚此行,不枉此行
不许,不准
不学而能,生而知之
不学无术,真才实学
不雅,不雅观
不雅观,不雅
不言而喻,不问可知
不言而喻,显而易见
不厌其烦,诲人不倦
不厌其详,不厌求详
不厌求详,不厌其详
不要紧,没关系
不一,纷歧
不一而足,所在多有
不遗余力,竭尽全力
不以为意,漫不经心
不易,不容易
不易之论,不刊之论
不意,不料
不翼而飞,不胫而走
不翼而飞,不知去向
不应,不该
不用,不必
不用,不消
不用着急,毋须着急
不由得,禁不住
不由得,忍不住
不由自主,情不自禁
不愿,不肯
不约而合,不谋而合
不约而同,不谋而合
不长进,不成才
不长进,不成材
不折不扣,彻彻底底
不正经,不伦不类
不知恩义,过河拆桥
不知恩义,过河抽板
不知恩义,见利忘义
不知恩义,忘恩负义
不知去向,不翼而飞
不知去向,石沉大海
不知所措,手足无措
不值一提,何足道哉
不置可否,模棱两可
不中听,不入耳
不准,禁绝
不自量力,量力而行
不足,缺乏
不足齿数,不足挂齿
不足挂齿,不足齿数
不足介意,无足挂齿
不足为据,不足为凭
不足为凭,不足为据
不足为奇,层见迭出
不足为奇,多如牛毛
不足为奇,屡见不鲜
不足为奇,数见不鲜
不足为奇,无独有偶
不作数,不当准
布掸子,拂尘
布道,传教
布防,设防
布告,公告
布告,书记
布鼓雷门,班门弄斧
布局,规划
布局,结构
布匹,布疋
布疋,布匹
布衣,平民
布衣交,贫贱交
布衣粝食,布衣蔬食
布衣蔬食,布衣粝食
布衣之交,微时之交
布置,安插
布置,安顿
布置,安排
布置,安置
步兵,步卒
步步为营,稳扎稳打
步队,队伍
步伐,程序
步伐,措施
步履,行动
步辇儿,步行
步辇儿,步碾儿
步碾儿,步辇儿
步人后尘,独具匠心
步调,步伐
步调,步骤
步骤,步调
步卒,步兵
部队,军队
部分,部份
部分,部门
部分,局部
部份,部分
部门,部分
部属,部下
部属,属下
部属,下属
部署,安排
部署,摆设
部署,布置
部下,手下
簿本,本子
擦拳磨掌,摩拳擦掌
猜测,猜想
猜忌,猜疑
猜拳,豁拳
猜想,猜测
猜想,料想
猜疑,猜忌
猜疑,怀疑
猜中,料中
才干,才华
才高八斗,八斗之才
才高八斗,学富五车
才高气傲,恃才傲物
才华,才干
才华,才气
才华,才调
才华出众,才华盖世
才能,才干
才能,能力
才气,才干
才气,才华
才气,才能
才气纵横,天才横溢
才情,才思
才人,秀士
才思,才情
才智,才干
才子,佳人
材伎,材艺
材料,资料
材艺,材伎
财宝,玉帛
财帛,钱财
财产,财富
财产,产业
财贿,财货
财货,财贿
财路,财源
财气,财运
财务,财政
财源,财路
财运,财气
财政,财务
裁缝,成衣
裁减,扩充
裁决,判决
裁判员,评判员
裁人,裁员
裁员,裁人
采购,推销
采集,收集
采纳,采用
采取,采纳
采取,采用
采取,接纳
采用,采取
彩超,彩色B超
彩色,黑色
彩色B超,彩超
菜子,菜籽
菜籽,菜子
参半,各半
参差,整齐
参差不齐,良莠不齐
参观,观赏
参加,参与
参加,加入
参加,列入
参见,拜见
参军,从军
参考之资,他山之石
参谋,顾问
参与,介入
参预,参与
餐风露宿,栉风沐雨
残暴,残酷
残存,残余
残害,摧残
残害,践踏糟踏
残花败柳,半老徐娘
残花败柳,枯枝败叶
残酷,残暴
残酷,严酷
残虐,肆虐
残破,残缺
残缺,残破
残缺,完整
残忍,残暴
残余,残存
残余,剩余
惭愧,忸捏
惭愧,羞愧
惨白,苍白
惨恻,惨怆
惨恻,凄怆
惨怆,惨恻
惨淡,暗澹
惨淡,昏暗
惨澹,惨淡
惨剧,悲剧
惨绝人寰,惨无人道
惨绝人寰,仁至义尽
惨然,惨淡
惨痛,惨重
惨无人道,惨绝人寰
惨重,惨痛
惨重,沉重
灿烂,残暴
灿烂,光辉
灿烂,光耀
灿烂,绚烂
仓促,仓皇
仓促,匆促
仓促,急促
仓促,急急
仓猝,匆促
仓皇,仓促
仓皇失措,惊惶失措
仓遑,仓惶
仓惶,仓遑
仓卒,匆急
伧夫俗人,凡夫俗子
苍白,惨白
苍翠,葱翠
苍老,衰老
苍凉,凄凉
苍茫,苍莽
苍莽,苍茫
苍穹,天穹
苍头,厮役
沧海横流,祸乱滔天
沧海桑田,白云苍狗
沧海微尘,太仓一粟
沧海一粟,九牛一毫
沧海一粟,九牛一毛
藏匿,躲藏
藏身安身,存身
藏书楼,图书馆
操办,筹办
操持,筹划
操持,料理
操行,品行
操劳,劳累
操心,费心
操之过急,稳扎稳打
操纵,把持
操纵,操作
操作,操纵
嘈吵喧斗,哗闹
嘈杂,喧闹
草草了事,敷衍了事
草率,轻率
草帽,凉帽
草木不生,牛山濯濯
草木皆兵,杯弓蛇影
草木皆兵,风声鹤唳
草木惊心,惊弓之鸟
草拟,起草
草鞋,芒鞋
草野,草泽
草衣木食,并日而食
草泽,草莽
草泽,草野
草纸,厕纸
册本,书籍
册封,封爵
厕所,茅厕
厕纸,草纸
侧丽,侧艳
侧面,正面
侧艳,侧丽
侧重,偏重
侧重,着重
测量,丈量
测验,检验
测验,考试
测字,拆字
恻隐,怜悯
恻隐之心,落井下石
策动,策划
策划,筹划
策划,筹谋
策划,谋划
策略,战略
策应,接应
岑寂,冷静
岑岭,高峰
层出不穷,层见叠出
层次,条理
层峦叠嶂,一马平川
曾经,曾
曾经,已经
插入,拔出
插手,插足
插足,插手
茶馆,茶社
茶话会,谈话会
茶楼,茶室
茶楼,茶肆
茶青,墨绿
茶室,茶馆
茶室,茶楼
查办,查究
查察,检察
查抄,检查
查抄,搜查
查对,核对
查访,察访
查究,核办
查究,追究
查看,检查
查考,覆按
查问,查询
查问,盘问
查验,检验
察访,查访
察觉,发觉
察看,观察
察言观色,鉴貌辨色
奼女,少女
奼紫嫣红,万紫千红
岔道,岔路
岔路,岔道
岔路支路,歧路
刹那,霎时
刹时,瞬间
刹时,瞬时
诧异,惊讶
差别,不同
差别,差异
差池,差迟
差迟,差池
差错,错误
差错,过失
差劲,低劣
差遣,派遣
差异,差别
姹紫嫣红,万紫千红
拆除,撤除
拆穿,掩饰
拆伙,散伙
拆散,分离
拆卸,装配
拆字,测字
柴炭,木炭
豺狼,虎豹
掺和,搀和
掺假,搀假
掺杂,搀杂
搀扶,扶持
搀和,搀杂
搀假,掺假
搀杂,掺杂
搀杂,搀和
搀杂,夹杂
谗言,诽语
谗言,忠言
馋涎欲滴,垂涎欲滴
孱弱,羸弱
缠累,牵累
缠绵,缱绻
缠绕,环绕纠缠
蝉联,连任
蝉联,留任
蟾宫仙子,月里嫦娥
产品,产物
产生,发生
产物,产品
产业,财产
产业,工业
产业,家产
产业,家当
谄媚,谄谀
谄媚,奉承
谄谀,阿谀
谄谀,谄媚
铲除,革除
铲除,根除
阐发,分析
阐明,说明
阐述,论述
忏悔,懊悔
忏悔,反悔
颤动,颤抖
颤抖,哆嗦
颤抖,发抖
颤栗,战栗
昌盛,兴盛
猖,跋扈
猖獗,猖狂
猖獗,疯狂
猖狂,猖獗
尝尝,试试
尝鼎一脔,见微知着
尝试,测验考试
常备不懈,临阵磨枪
常备不懈,枕戈待旦
常常,经常
常规,惯例
常见,罕见
常见病,常见疾病
常见疾病,常见病
常年,终年
常人,凡人
常识,知识
常用,经常使用
偿还,归还
偿还,了偿
徜徉,倘佯
场合,场所
场合排场,局面
场面,局面
场面,排场
场所,场合
敞开,关闭
怅然,欣然
怅惋,怅惜
怅惘,迷惘
怅惘,惘然
怅惜,怅惋
畅快,酣畅
畅快,痛快
畅所欲言,各抒己见
畅谈,泛论
畅通,疏通
畅通,通顺
畅通流畅,流通
畅销,滞销
倡导,倡议
倡导,提倡
倡寮,妓院
倡议,建议
唱本,曲稿
唱工,唱功
唱工,做工
唱功,唱工
抄本,手本
抄录,抄写
抄掠,搜劫
抄袭,剽窃
抄写,缮写
抄写,誊写
超常,超凡
超出,超越
超等,超级
超额,逾额
超过,超越
超过,跨越
超过跨过,高出
超级,超等
超群出众,超群绝伦
超群绝伦,超群出众
超群绝伦,出类拔萃
超群脱俗,逸群绝俗
超越,超出
超越,逾越
巢毁卵破,唇亡齿寒
巢木居野,穴居野处
朝不保夕,危在旦夕
朝晨,清早
朝梁暮陈,朝梁暮晋
朝梁暮晋,朝梁暮陈
朝气,暮气
朝气,生气
朝气蓬勃,萎靡不振
朝秦暮楚,朝三暮四
朝三暮四,朝秦暮楚
朝三暮四,反复无常
朝上进步,进取
朝思暮想,念念不忘
朝夕,旦夕
朝霞,晚霞
朝霞,早霞
朝阳,向阳
朝阳,旭日
嘲笑,讥笑
嘲笑,冷笑
嘲笑,讪笑
潮流,潮水
潮湿,湿润
潮水,潮流
吵架,打骂
吵骂,交谪
吵嚷,喧嚷
吵杂,烦吵
炒鱿鱼,卷铺盖
车费,车资
车水马龙,毂击肩摩
车水马龙,门可罗雀
车厢,车箱
车箱,车厢
车载斗量,汗牛充栋
车资,车费
扯谎,撒谎
扯破,撕裂
扯谈,胡诌
彻底,完全
彻骨,透骨
彻里彻外,彻上彻下
彻里彻外,彻头彻尾
彻上彻下,彻里彻外
彻头彻尾,彻彻底底
彻夜,今夜
彻夜,通宵
摰友,好友
撤兵,撤军
撤除,撤消
撤除,除掉
撤除,除去
撤军,撤兵
撤退,撤离
撤退,退却
撤退退却,后退
撤消,裁撤
撤消,撤除
撤消,撤销
撤消,吊销
撤消,取消
撤销,撤消
撤职,罢免
撤职,革职
撤职,免职
澈底,透澈
澈底觉悟,大澈大悟
嗔怪,责怪
瞋目,横眉
瞋目,怒目
尘寰,凡间
尘世,红尘
尘事,尘务
尘土,灰尘
尘务,尘事
沉甸甸,轻飘飘
沉积,堆积
沉寂,沉静
沉寂,寂静
沉浸,沉溺
沉浸,沉醉
沉静,沉寂
沉痾,沉?
沉痾,沉
沉沦,沉溺
沉没,漂浮
沉闷,烦闷
沉闷,活跃
沉迷,沉浸
沉迷,陷溺
沉湎,沉沦
沉默,缄默
沉默,缄默沉静
沉默寡言,夸夸其谈
沉溺,沉沦
沉溺,沉湎
沉溺堕落,沦落
沉睡,觉醒
沉思,深思
沉思,寻思
沉着,冷静
沉着,镇静
沉重,繁重
沉醉,沉浸
沉醉,陶醉
陈词滥调,老生常谈
陈腐,陈旧
陈腐,古老
陈腐,新鲜
陈腐,迂腐
陈规,成规
陈迹,痕迹
陈迹,遗迹
陈旧,陈腐
陈雷之契,管鲍之交
陈列,摆设
陈列所,展览场
陈腔滥调,八股
陈设,摆设
陈设,陈列
陈述,陈说
陈说,陈述
陈说,述说
陈诉,报告
晨安,早安
晨风,晓风
晨光,晨曦
晨曦,晨光
衬托,烘托
衬托,陪衬
趁便,顺便
趁波逐浪,随波逐流
趁火打劫,攻其不备
趁火打劫,浑水摸鱼
趁机,乘隙
趁热打铁,连成一气
趁热打铁,一气呵成
趁势,顺势
趁心,称心
趁早,赶早
称孤道寡,称王称帝
称呼,称号
称呼,称谓
称疾,托病
称身,合身
称说,称呼
称颂,称赞
称颂,赞颂
称王称帝,称孤道寡
称谓,称呼
称心,趁心
称心,满意
称心快意,遂心如愿
称心如意,心满意足
称许,赞许
称誉,称赞
称赞,称誉
称赞,奖饰
称赞,夸奖
称赞,赞美
撑场面,充排场
撑持,支撑
瞠乎其后,难望项背
瞠乎其后,望尘莫及
瞠目结舌,张口结舌
成本,本钱
成仇,构怨
成分,成份
成份,成分
成功,胜利
成规,陈规
成规,陋习
成果,功效
成果,结果
成果,效果
成绩,成果
成绩,成就
成家立业,安家立业
成见,偏见
成就,成绩
成就,造诣
成名术,登龙术
成品,制品
成千上万,不计其数
成千盈百,成百上千
成全,玉成
成群结队,三五成群
成仁取义,视死如归
成为了,成了
成仙,羽化
成心,故意
成衣,裁缝
成长,生长
成竹在胸,心中有数
成竹在胸,胸有成竹
呈文,报告
呈现,出现
呈现,显现
诚笃,诚实
诚惶诚恐,坐卧不安
诚恳,诚实
诚恳,恳切
诚然,固然
诚实,诚笃
诚实,老实
诚心,诚恳
诚心诚意,虚情假意
诚挚,真挚
承担,承当
承当,承担
承继,承袭
承继,继承
承诺,许诺
承前启后,承上启下
承前启后,继往开来
承情,领情
承认,供认
承认,认可
承上启下,承先启后
承上起下,承上启下
承受,接受
承受,蒙受
承袭,秉承
承袭,承继
承先启后,承前启后
承先启后,承上启下
城开不夜,金吾不禁
乘车,搭车
乘船,搭船
乘风破浪,披荆斩棘
乘机,伺机
乘凉,纳凉
乘人之危,落井下石
乘隙,趁机
乘虚而入,浑水摸鱼
程度,水平
程门立雪,尊师重道
程序,法式
程序,顺序
惩办,惩处
惩办,惩罚
惩处,惩办
惩恶,劝善
惩罚,处分
惩罚,赏罚
惩罚,责罚
惩前毖后,小惩大诫
惩治,惩办
澄彻,澄澈
澄澈,澄彻
澄清,廓清
逞强,示弱
吃法,服法
吃尽当光,罗掘俱穷
吃惊,受惊
吃苦,享乐
吃苦俭朴,忍苦
吃里扒外,吃里爬外
吃里爬外,吃里扒外
吃力,费劲
吃素,茹素
吃素,食斋
吃一堑;长一智,重蹈覆辙
笞打,楚挞
嗤之以鼻,五体投地
痴呆,聪慧
痴钝,迟钝
痴肥,臃肿
痴顽,愚钝
痴心妄想,胡思乱想
池塘,水池
池鱼之殃,无妄之灾
池沼,沼泽
弛缓,缓和
弛禁,开禁
弛刑,减刑
驰名,驰誉
驰名,闻名
驰名,著名
驰名中外,举世闻名
驰誉,驰名
迟钝,痴钝
迟钝,缓慢
迟钝,愚钝
迟缓,缓慢
迟疑,踌躇
迟疑,犹豫
迟疑,游移
迟早,早晚
持久,耐久
持禄,尸位素餐
持平立论,平心而谈
持续,继续
持续,连续
持续,延续
持疑不定,持疑不决
持疑不决,持疑不定
持之以恒,锲而不舍
持志,守节
持志,守志
持重,稳健
持重,稳重
踟躇,踟蹰
踟蹰,踟躇
尺牍,函牍
尺度,标准
尺幅千里,掌上河山
齿豁头童,老态龙钟
侈糜,侈靡
侈靡,侈糜
侈靡,奢侈
耻辱,羞耻
耻辱,羞辱
耻笑,嘲笑
褫夺,剥夺
叱呵,叱喝
叱喝,叱呵
叱骂,责骂
叱责,斥责
叱责,呼叱
叱责,责备
斥革,革退
斥候,标兵
斥骂,诃斥
斥责,叱责
斥责,呵
斥责,呵斥
赤忱,赤心
赤诚,耻辱
赤诚,热诚
赤胆忠心,忠心耿耿
赤脚,光脚
赤军,红军
赤裸裸,光秃秃
赤贫如洗,一无所有
赤色,红色
赤身,裸体
赤身露体,袒裼裸裎
赤身露体,一丝不挂
赤手空拳,手无寸铁
赤心,赤忱
赤心,丹心
赤血丹心,忠肝义胆
饬厉,戒勉
炽热,火热
炽热,灼热
翅膀,同党
冲动,感动
冲动,激动
冲毁,冲垮
冲破,打破
冲破,突破
